development_selection_order,ticker,name,market,selection_sector,market_cap_bucket,selection_stratum,within_stratum_rank,listing_date,listing_age_bucket,industry,source_development_selection_order,spent_stock_quarantine,oos_a_frozen,future_outcomes_opened
1,012860,모베이스전자,KOSDAQ,AUTO_TRANSPORT_EQUIP,CAP_LARGE,KOSDAQ|AUTO_TRANSPORT_EQUIP|CAP_LARGE,2,1994-10-26,AGE_GE10Y,자동차 신품 부품 제조업,100,False,True,False
2,013310,아진산업,KOSDAQ,AUTO_TRANSPORT_EQUIP,CAP_MID,KOSDAQ|AUTO_TRANSPORT_EQUIP|CAP_MID,2,2015-12-22,AGE_GE10Y,자동차 신품 부품 제조업,101,False,True,False
3,013720,청보,KOSDAQ,AUTO_TRANSPORT_EQUIP,CAP_SMALL,KOSDAQ|AUTO_TRANSPORT_EQUIP|CAP_SMALL,2,1993-12-29,AGE_GE10Y,자동차 신품 부품 제조업,102,False,True,False
4,001540,안국약품,KOSDAQ,BIO_HEALTHCARE,CAP_LARGE,KOSDAQ|BIO_HEALTHCARE|CAP_LARGE,2,2000-06-15,AGE_GE10Y,의약품 제조업,103,False,True,False
5,006140,피제이전자,KOSDAQ,BIO_HEALTHCARE,CAP_MID,KOSDAQ|BIO_HEALTHCARE|CAP_MID,2,1993-12-07,AGE_GE10Y,의료용 기기 제조업,104,False,True,False
6,018620,우진비앤지,KOSDAQ,BIO_HEALTHCARE,CAP_SMALL,KOSDAQ|BIO_HEALTHCARE|CAP_SMALL,2,2008-05-20,AGE_GE10Y,의약품 제조업,105,False,True,False
7,017890,한국알콜,KOSDAQ,CHEMICAL_MATERIALS,CAP_LARGE,KOSDAQ|CHEMICAL_MATERIALS|CAP_LARGE,2,1992-08-04,AGE_GE10Y,기타 화학제품 제조업,106,False,True,False
8,014970,삼륭물산,KOSDAQ,CHEMICAL_MATERIALS,CAP_MID,KOSDAQ|CHEMICAL_MATERIALS|CAP_MID,2,1992-12-29,AGE_GE10Y,"골판지, 종이 상자 및 종이용기 제조업",107,False,True,False
9,006050,국영지앤엠,KOSDAQ,CHEMICAL_MATERIALS,CAP_SMALL,KOSDAQ|CHEMICAL_MATERIALS|CAP_SMALL,2,1994-10-07,AGE_GE10Y,유리 및 유리제품 제조업,108,False,True,False
10,035890,서희건설,KOSDAQ,CONSTRUCTION_REAL_ESTATE,CAP_LARGE,KOSDAQ|CONSTRUCTION_REAL_ESTATE|CAP_LARGE,2,1999-12-24,AGE_GE10Y,건물 건설업,109,False,True,False
11,007680,대원,KOSDAQ,CONSTRUCTION_REAL_ESTATE,CAP_MID,KOSDAQ|CONSTRUCTION_REAL_ESTATE|CAP_MID,2,2017-12-01,AGE_3_10Y,건물 건설업,110,False,True,False
12,002290,삼일기업공사,KOSDAQ,CONSTRUCTION_REAL_ESTATE,CAP_SMALL,KOSDAQ|CONSTRUCTION_REAL_ESTATE|CAP_SMALL,2,1992-11-30,AGE_GE10Y,건물 건설업,111,False,True,False
13,013990,아가방컴퍼니,KOSDAQ,CONSUMER_FOOD_RETAIL,CAP_LARGE,KOSDAQ|CONSUMER_FOOD_RETAIL|CAP_LARGE,2,2002-01-17,AGE_GE10Y,생활용품 도매업,112,False,True,False
14,003310,대주산업,KOSDAQ,CONSUMER_FOOD_RETAIL,CAP_MID,KOSDAQ|CONSUMER_FOOD_RETAIL|CAP_MID,2,1992-08-01,AGE_GE10Y,동물용 사료 및 조제식품 제조업,113,False,True,False
15,008290,원풍물산,KOSDAQ,CONSUMER_FOOD_RETAIL,CAP_SMALL,KOSDAQ|CONSUMER_FOOD_RETAIL|CAP_SMALL,2,1997-07-18,AGE_GE10Y,봉제의복 제조업,114,False,True,False
16,036190,금화피에스시,KOSDAQ,ENERGY_UTILITIES,CAP_LARGE,KOSDAQ|ENERGY_UTILITIES|CAP_LARGE,2,2000-12-26,AGE_GE10Y,전기 및 통신 공사업,115,False,True,False
17,039420,케이엘넷,KOSDAQ,ENERGY_UTILITIES,CAP_MID,KOSDAQ|ENERGY_UTILITIES|CAP_MID,2,2002-03-12,AGE_GE10Y,전기 통신업,116,False,True,False
18,038620,위즈코프,KOSDAQ,ENERGY_UTILITIES,CAP_SMALL,KOSDAQ|ENERGY_UTILITIES|CAP_SMALL,2,2000-05-04,AGE_GE10Y,연료 소매업,117,False,True,False
19,023760,한국캐피탈,KOSDAQ,FINANCE,CAP_LARGE,KOSDAQ|FINANCE|CAP_LARGE,2,1994-11-07,AGE_GE10Y,기타 금융업,118,False,True,False
20,021080,에이티넘인베스트,KOSDAQ,FINANCE,CAP_MID,KOSDAQ|FINANCE|CAP_MID,2,1991-07-12,AGE_GE10Y,신탁업 및 집합투자업,119,False,True,False
21,019570,GMI벤처,KOSDAQ,FINANCE,CAP_SMALL,KOSDAQ|FINANCE|CAP_SMALL,2,1989-03-14,AGE_GE10Y,신탁업 및 집합투자업,120,False,True,False
22,018000,유니슨,KOSDAQ,INDUSTRIAL_MACHINERY,CAP_LARGE,KOSDAQ|INDUSTRIAL_MACHINERY|CAP_LARGE,2,1996-01-10,AGE_GE10Y,일반 목적용 기계 제조업,121,False,True,False
23,008830,대동기어,KOSDAQ,INDUSTRIAL_MACHINERY,CAP_MID,KOSDAQ|INDUSTRIAL_MACHINERY|CAP_MID,2,1991-05-17,AGE_GE10Y,특수 목적용 기계 제조업,122,False,True,False
24,019770,서연탑메탈,KOSDAQ,INDUSTRIAL_MACHINERY,CAP_SMALL,KOSDAQ|INDUSTRIAL_MACHINERY|CAP_SMALL,2,2011-06-24,AGE_GE10Y,특수 목적용 기계 제조업,123,False,True,False
25,038390,레드캡투어,KOSDAQ,LEISURE_HOSPITALITY,CAP_LARGE,KOSDAQ|LEISURE_HOSPITALITY|CAP_LARGE,2,2000-02-01,AGE_GE10Y,여행사 및 기타 여행보조 서비스업,124,False,True,False
26,104620,노랑풍선,KOSDAQ,LEISURE_HOSPITALITY,CAP_MID,KOSDAQ|LEISURE_HOSPITALITY|CAP_MID,2,2019-01-30,AGE_3_10Y,여행사 및 기타 여행보조 서비스업,125,False,True,False
27,069510,에스텍,KOSDAQ,MEDIA_ENTERTAINMENT,CAP_LARGE,KOSDAQ|MEDIA_ENTERTAINMENT|CAP_LARGE,2,2003-11-14,AGE_GE10Y,영상 및 음향기기 제조업,126,False,True,False
28,032540,TJ미디어,KOSDAQ,MEDIA_ENTERTAINMENT,CAP_MID,KOSDAQ|MEDIA_ENTERTAINMENT|CAP_MID,2,1997-04-16,AGE_GE10Y,영상 및 음향기기 제조업,127,False,True,False
29,025440,DH오토웨어,KOSDAQ,MEDIA_ENTERTAINMENT,CAP_SMALL,KOSDAQ|MEDIA_ENTERTAINMENT|CAP_SMALL,2,1995-05-22,AGE_GE10Y,영상 및 음향기기 제조업,128,False,True,False
30,006910,보성파워텍,KOSDAQ,METALS,CAP_LARGE,KOSDAQ|METALS|CAP_LARGE,2,1994-09-07,AGE_GE10Y,"구조용 금속제품, 탱크 및 증기발생기 제조업",129,False,True,False
31,017480,삼현철강,KOSDAQ,METALS,CAP_MID,KOSDAQ|METALS|CAP_MID,2,2001-01-09,AGE_GE10Y,1차 철강 제조업,130,False,True,False
32,008470,부스타,KOSDAQ,METALS,CAP_SMALL,KOSDAQ|METALS|CAP_SMALL,2,2011-02-23,AGE_GE10Y,"구조용 금속제품, 탱크 및 증기발생기 제조업",131,False,True,False
33,005990,매일홀딩스,KOSDAQ,OTHER_UNKNOWN,CAP_LARGE,KOSDAQ|OTHER_UNKNOWN|CAP_LARGE,2,1999-05-14,AGE_GE10Y,동·식물성 유지 및 낙농제품 제조업,132,False,True,False
34,005670,푸드웰,KOSDAQ,OTHER_UNKNOWN,CAP_MID,KOSDAQ|OTHER_UNKNOWN|CAP_MID,2,1993-12-07,AGE_GE10Y,"과실, 채소 가공 및 저장 처리업",133,False,True,False
35,006920,모헨즈,KOSDAQ,OTHER_UNKNOWN,CAP_SMALL,KOSDAQ|OTHER_UNKNOWN|CAP_SMALL,2,1989-01-05,AGE_GE10Y,"시멘트, 석회, 플라스터 및 그 제품 제조업",134,False,True,False
36,036710,심텍홀딩스,KOSDAQ,PROFESSIONAL_SERVICES,CAP_LARGE,KOSDAQ|PROFESSIONAL_SERVICES|CAP_LARGE,2,2000-01-04,AGE_GE10Y,회사 본부 및 경영 컨설팅 서비스업,135,False,True,False
37,084650,랩지노믹스,KOSDAQ,PROFESSIONAL_SERVICES,CAP_MID,KOSDAQ|PROFESSIONAL_SERVICES|CAP_MID,2,2014-12-16,AGE_GE10Y,자연과학 및 공학 연구개발업,136,False,True,False
38,109820,진매트릭스,KOSDAQ,PROFESSIONAL_SERVICES,CAP_SMALL,KOSDAQ|PROFESSIONAL_SERVICES|CAP_SMALL,2,2009-11-06,AGE_GE10Y,자연과학 및 공학 연구개발업,137,False,True,False
39,025320,시노펙스,KOSDAQ,SEMICON_ELECTRONICS,CAP_LARGE,KOSDAQ|SEMICON_ELECTRONICS|CAP_LARGE,2,1995-04-20,AGE_GE10Y,전자부품 제조업,138,False,True,False
40,015710,코콤,KOSDAQ,SEMICON_ELECTRONICS,CAP_MID,KOSDAQ|SEMICON_ELECTRONICS|CAP_MID,2,1997-09-30,AGE_GE10Y,통신 및 방송 장비 제조업,139,False,True,False
41,027040,서울전자통신,KOSDAQ,SEMICON_ELECTRONICS,CAP_SMALL,KOSDAQ|SEMICON_ELECTRONICS|CAP_SMALL,2,1999-12-03,AGE_GE10Y,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",140,False,True,False
42,032620,GC메디아이,KOSDAQ,SOFTWARE_IT,CAP_LARGE,KOSDAQ|SOFTWARE_IT|CAP_LARGE,2,1997-05-02,AGE_GE10Y,소프트웨어 개발 및 공급업,141,False,True,False
